generation,count,is_initialized,f_proxy_scalar,g_al_proxy,lam,mu,al_pen_proxy,g_al_min,g_al_max,g_al_std,n_feasible_parents,pen_to_f_ratio,n_proxy_set,proxy_front_only,proxy_g_quantile,proxy_front_min_size
1,0,False,1.0661081345238095,[-3006.5318778590863],[0.0],[0.0],0.0,-3571.81126549272,-2068.4797469646373,365.56860787249883,24,0.0,24,False,,
2,0,False,1.054184611904762,[-3023.510859689621],[0.0],[0.0],0.0,-3571.81126549272,-2068.4797469646373,370.45747578569535,24,0.0,24,False,,
3,0,False,1.0467583285714286,[-3053.3690326716187],[0.0],[0.0],0.0,-3571.81126549272,-2068.4797469646373,360.63682264230533,24,0.0,24,False,,
4,0,False,1.0444322761904763,[-3057.7474480227806],[0.0],[0.0],0.0,-3571.81126549272,-2068.4797469646373,365.02212001102515,24,0.0,24,False,,
5,0,False,1.0242985757142857,[-3032.9059724435915],[0.0],[0.0],0.0,-3571.81126549272,-2068.4797469646373,368.29958852910426,24,0.0,24,False,,
6,0,False,1.0178189638095239,[-3001.147116524296],[0.0],[0.0],0.0,-3571.81126549272,-2068.4797469646373,364.4219272232876,24,0.0,24,False,,
7,0,False,1.0161720042857143,[-3031.105818579137],[0.0],[0.0],0.0,-3571.81126549272,-2068.4797469646373,360.0351176311319,24,0.0,24,False,,
8,0,False,1.0102116401190477,[-2962.0633236923454],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,415.7337865322852,24,0.0,24,False,,
9,0,False,1.002125151666667,[-2938.2107675876673],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,424.3437172091637,24,0.0,24,False,,
10,0,False,0.9961366861904762,[-2899.5916297587137],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,428.0790546740986,24,0.0,24,False,,
11,0,False,0.9909859671428572,[-2900.8875781153365],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,428.85132933790004,24,0.0,24,False,,
12,0,False,0.9909859671428572,[-2900.8875781153365],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,428.85132933790004,24,0.0,24,False,,
13,0,False,0.9909859671428572,[-2900.8875781153365],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,428.85132933790004,24,0.0,24,False,,
14,0,False,0.9813677479761905,[-2907.046895426076],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,440.1463549797103,24,0.0,24,False,,
15,0,False,0.9813677479761905,[-2907.046895426076],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,440.1463549797103,24,0.0,24,False,,
16,0,False,0.9813677479761905,[-2907.046895426076],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,440.1463549797103,24,0.0,24,False,,
17,0,False,0.9796685848809524,[-2907.171155537762],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,440.23366629094505,24,0.0,24,False,,
18,0,False,0.9796685848809524,[-2907.171155537762],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,440.23366629094505,24,0.0,24,False,,
19,0,False,0.9796685848809524,[-2907.171155537762],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,440.23366629094505,24,0.0,24,False,,
20,0,False,0.9766318241666667,[-2943.1797933879716],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,454.91133497838734,24,0.0,24,False,,
21,0,False,0.9704701491666666,[-2994.0614525064498],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,472.36289680673724,24,0.0,24,False,,
22,0,False,0.9704701491666666,[-2994.0614525064498],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,472.36289680673724,24,0.0,24,False,,
23,0,False,0.9704701491666666,[-2994.0614525064498],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,472.36289680673724,24,0.0,24,False,,
24,0,False,0.9704701491666666,[-2994.0614525064498],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,472.36289680673724,24,0.0,24,False,,
25,0,False,0.9704701491666666,[-2994.0614525064498],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,472.36289680673724,24,0.0,24,False,,
26,0,False,0.9658259515476191,[-2986.5465152168777],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,472.4860382829034,24,0.0,24,False,,
27,0,False,0.9627856764285715,[-2986.4318923303385],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,479.81691415122197,24,0.0,24,False,,
28,0,False,0.9616154776190476,[-2996.0112958283717],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,486.95896348683374,24,0.0,24,False,,
29,0,False,0.9616154776190476,[-2996.0112958283717],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,486.95896348683374,24,0.0,24,False,,
30,0,False,0.9616154776190476,[-2996.0112958283717],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,486.95896348683374,24,0.0,24,False,,
31,0,False,0.9615597442857142,[-2952.4623187738835],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,490.1588602495513,24,0.0,24,False,,
32,0,False,0.960515855,[-2936.8033319282586],[0.0],[0.0],0.0,-3571.81126549272,-1915.5987203800557,476.3064753946658,24,0.0,24,False,,
33,0,False,0.959324155,[-2866.980128152951],[0.0],[0.0],0.0,-3571.81126549272,-1736.3986089980408,522.1284047345849,24,0.0,24,False,,
34,0,False,0.959324155,[-2866.980128152951],[0.0],[0.0],0.0,-3571.81126549272,-1736.3986089980408,522.1284047345849,24,0.0,24,False,,
35,0,False,0.959324155,[-2866.980128152951],[0.0],[0.0],0.0,-3571.81126549272,-1736.3986089980408,522.1284047345849,24,0.0,24,False,,
36,0,False,0.9587585966666667,[-2880.3650163848065],[0.0],[0.0],0.0,-3571.81126549272,-1736.3986089980408,525.1988949133765,24,0.0,24,False,,
37,0,False,0.9587585966666667,[-2880.3650163848065],[0.0],[0.0],0.0,-3571.81126549272,-1736.3986089980408,525.1988949133765,24,0.0,24,False,,
38,0,False,0.9515123335714287,[-2915.339158683955],[0.0],[0.0],0.0,-3571.81126549272,-1736.3986089980408,534.6243364392277,24,0.0,24,False,,
39,0,False,0.9519289020238095,[-2906.801030992339],[0.0],[0.0],0.0,-3571.81126549272,-1736.3986089980408,532.3694907614821,24,0.0,24,False,,
40,0,False,0.9519289020238095,[-2906.801030992339],[0.0],[0.0],0.0,-3571.81126549272,-1736.3986089980408,532.3694907614821,24,0.0,24,False,,
41,0,False,0.9519289020238095,[-2906.801030992339],[0.0],[0.0],0.0,-3571.81126549272,-1736.3986089980408,532.3694907614821,24,0.0,24,False,,
42,0,False,0.950314816309524,[-2925.7372434110343],[0.0],[0.0],0.0,-3571.81126549272,-1736.3986089980408,504.52145824554515,24,0.0,24,False,,
43,0,False,0.950314816309524,[-2925.7372434110343],[0.0],[0.0],0.0,-3571.81126549272,-1736.3986089980408,504.52145824554515,24,0.0,24,False,,
44,0,False,0.950314816309524,[-2925.7372434110343],[0.0],[0.0],0.0,-3571.81126549272,-1736.3986089980408,504.52145824554515,24,0.0,24,False,,
45,0,False,0.9499790805952383,[-2903.979160391847],[0.0],[0.0],0.0,-3545.219271811976,-1736.3986089980408,487.15065788278554,24,0.0,24,False,,
46,0,False,0.9486066155952382,[-2929.124298980271],[0.0],[0.0],0.0,-3545.219271811976,-1736.3986089980408,449.6134240297734,24,0.0,24,False,,
47,0,False,0.9486066155952382,[-2929.124298980271],[0.0],[0.0],0.0,-3545.219271811976,-1736.3986089980408,449.6134240297734,24,0.0,24,False,,
48,0,False,0.9473997144047619,[-2924.321828700624],[0.0],[0.0],0.0,-3545.219271811976,-1736.3986089980408,444.4328482869209,24,0.0,24,False,,
49,0,False,0.9473997144047619,[-2924.321828700624],[0.0],[0.0],0.0,-3545.219271811976,-1736.3986089980408,444.4328482869209,24,0.0,24,False,,
50,0,False,0.9473997144047619,[-2924.321828700624],[0.0],[0.0],0.0,-3545.219271811976,-1736.3986089980408,444.4328482869209,24,0.0,24,False,,
51,0,False,0.9437140364285715,[-2872.7102333576063],[0.0],[0.0],0.0,-3545.219271811976,-1736.3986089980408,450.3805375672965,24,0.0,24,False,,
52,0,False,0.9437140364285715,[-2872.7102333576063],[0.0],[0.0],0.0,-3545.219271811976,-1736.3986089980408,450.3805375672965,24,0.0,24,False,,
53,0,False,0.9437140364285715,[-2872.7102333576063],[0.0],[0.0],0.0,-3545.219271811976,-1736.3986089980408,450.3805375672965,24,0.0,24,False,,
54,0,False,0.9384503157142857,[-2885.952407911121],[0.0],[0.0],0.0,-3545.219271811976,-1736.3986089980408,459.9576781797132,24,0.0,24,False,,
