gen_found,lineage_id,f_0,f_1,design_0,design_1,design_2,design_3,design_4,design_5,g_al_0
39,941,1.0,0.00015030494285714284,1.3863895538425661,1.0766892151999996,1.096911806647789,1.1879542897562192,1.7289003249053418,1.1754999214991786,-2932.723326881332
161,3877,0.5361660000000009,0.006061217142857143,1.8389928006491414,1.0315689377079116,1.0438585888896625,1.840449787041442,1.2913296836187182,1.5050985460209585,-1599.5638377488185
195,4703,0.8598319999999998,0.0014696371428571428,1.983422221857794,1.0694477320936844,1.0246551117740466,1.9406027892014472,1.7292138288079006,1.4533939574916248,-1151.1787264318841
206,4951,0.8865980000000001,0.0009554637142857143,1.9760146548056294,1.0884194782762107,1.0027621733508867,1.9632505888473564,1.7051660472897348,1.5221533231637367,-331.42742941063057
215,5180,0.511798,0.150879,1.9934357295948169,1.112936953467546,1.0121738692171882,1.940248670537029,1.7096629996566033,1.5148595981266788,-588.1697038355845
217,5209,0.531995999999999,0.07667825714285714,1.8008046942845528,1.0346918070495095,1.0356240231390512,1.8232583446027966,1.2736079139772776,1.5161803717201756,-203.48405797103078
234,5618,0.5272280000000003,0.092311,1.9074430137741736,1.0766740527528458,1.030336527470937,1.9491738906273406,1.720849824494235,1.5167042215097974,-176.3393597909356
235,5643,0.5182000000000004,0.09416777142857143,1.9217860668637572,1.0780840072123883,1.0290373103171992,1.9478625193733088,1.7273710120475698,1.5144359502317928,-165.74438360059258
354,8516,0.6381920000000004,0.0019027634285714286,1.9510410735244084,1.0604612390231778,1.0503832437973564,1.9287981166649326,1.7387576703057923,1.4966774992494492,-74.63102029026822
359,8634,0.6351760000000003,0.0019429991428571427,1.9557590373564995,1.0603895689053613,1.0486513937486353,1.9316837961599114,1.7255928858548242,1.4862933336168993,-99.48634310705711
377,9068,0.6336100000000002,0.0020237637142857144,1.9554284687379733,1.0603582117119303,1.048586229027941,1.932010137571665,1.725843619476862,1.486463619444387,-87.06644043577899
378,9094,0.6406339999999995,0.0017962214285714285,1.9508987989551896,1.0603926349561785,1.0507917571812764,1.9282100439898713,1.7400219546486848,1.4958521513000476,-62.07412506342507
414,9958,0.6399960000000001,0.0017975062857142857,1.9511367585920665,1.0604255128580955,1.0506785035088104,1.9282607534228817,1.7400761014595967,1.4958161832110577,-62.33661788144309
416,10006,0.6395860000000001,0.0018669891428571429,1.950885785116993,1.0603530952119726,1.0507646647020634,1.9281623664097165,1.7401043513453953,1.495771225781439,-62.46785002716797
426,10246,0.6407920000000003,0.0017918242857142858,1.9509721359113557,1.0604120498414242,1.050790141724359,1.9282139452422618,1.7400686967511116,1.4957923051800661,-60.10421575380997
461,11086,0.6409740000000003,0.0017853717142857144,1.9509859484200687,1.0604130030241874,1.0507887168408423,1.9282236527439072,1.7400513387519703,1.4957887495076736,-60.3669940918594
469,11277,0.6181699999999997,0.0020450908571428574,1.9608173452233137,1.060598633323161,1.0456709938519948,1.9375244281928747,1.7123513374539254,1.490768043114744,-73.3389673700558
472,11350,0.6407700000000001,0.0017955668571428573,1.9509929644455555,1.0604078997560826,1.0507929833733682,1.9282270776451944,1.7400570573649015,1.4957948779708456,-74.37030618139443
477,11468,0.617982,0.0021253354285714282,1.9600295188298513,1.0605278300380478,1.045793124138851,1.9376132047900092,1.7125523874103075,1.4905129651599993,-74.98576005699624
478,11492,0.6179840000000004,0.00212524,1.9600193315949375,1.0605270620947946,1.045797329836427,1.9375945475878331,1.7125525768449823,1.4905088307122452,-72.45286374951911
482,11588,0.61799,0.0021245517142857145,1.9600358673153444,1.0605257902363414,1.0457983708925165,1.9375965758162756,1.7125418384660116,1.4905060861166206,-72.57942296060219
486,11684,0.6177860000000005,0.0021338885714285716,1.9600319164317874,1.0605190898088557,1.0457959968432151,1.9375997911675416,1.7125483903003516,1.4905034640494892,-75.61954780132828
489,11758,0.6407959999999996,0.0017866940000000001,1.9509830723600028,1.0604129970945613,1.0507865546277981,1.9282235766599403,1.7400474416194027,1.4957889550655223,-62.99268354521655
489,11759,0.8000000000000005,0.001685012,1.9498058204940356,1.0603109121016694,1.0507209411382132,1.9287039899309444,1.7389455243925265,1.4961928304624537,-74.76136322608045
491,11807,0.7999999999999998,0.0016886845714285713,1.9498099384743315,1.0603112473191685,1.0507196360421975,1.9287073789044888,1.7389485385953256,1.4961901597213443,-74.76136322612592
495,11900,0.6177800000000002,0.0021349914285714285,1.9600252999021117,1.060521033500094,1.045799148487211,1.93759991777819,1.7125548725543105,1.4905087741940464,-73.08574986659733
498,11974,0.6408160000000002,0.0017855974285714284,1.9509894189817392,1.0604126351778707,1.0507875507134257,1.928222994739596,1.7400491273944523,1.495789567219519,-60.49836897429941
