generation,parent_idx,lineage_id,m_active,A_delta_fro,condition_number_after,shrink_applied,psd_fallback,active_js,v_norms
1,0,0,1,0.015988421541761545,1.0254766864284577,True,False,[6],[0.04637441115643147]
1,1,1,1,0.016405262061510426,1.025476686428457,True,False,[5],[0.03692952362977326]
1,2,2,2,0.015908292452954744,1.0254766864284577,True,False,"[7, 8]","[0.05552084058301398, 0.05552084058301398]"
1,3,3,3,0.016001024120281673,1.0254766864284568,True,False,"[8, 11, 12]","[0.03687601523355471, 0.03687601523355471, 0.03687601523355471]"
1,6,6,2,0.015404202645232635,1.025476686428458,True,False,"[7, 15]","[0.03399841880164425, 0.03399841880164425]"
1,7,7,1,0.01579156646585942,1.0254766864284575,True,False,[7],[0.048623162179185817]
1,8,8,1,0.015087193423745891,1.0254766864284584,True,False,[17],[0.018149233629450236]
1,9,9,1,0.013772928524425531,1.0254766864284572,True,False,[7],[0.042822194208079166]
1,10,10,2,0.016496304104286395,1.0254766864284572,True,False,"[7, 8]","[0.03782020481938147, 0.03782020481938147]"
1,11,11,1,0.016466444417521497,1.0254766864284572,True,False,[5],[0.03692399039693259]
1,13,13,1,0.016123518821342855,1.0254766864284572,True,False,[8],[0.037948493474969376]
1,15,15,1,0.016521209522736783,1.0254766864284575,True,False,[7],[0.02432080228192457]
1,18,18,1,0.016323461799823285,1.0254766864284577,True,False,[5],[0.02630936011502517]
1,19,19,1,0.016751605051019105,1.0254766864284577,True,False,[5],[0.02974442798236105]
1,20,20,1,0.01568041388784277,1.0254766864284575,True,False,[7],[0.037914886008800185]
1,21,21,2,0.01537355929945958,1.0254766864284572,True,False,"[7, 12]","[0.022806496422042338, 0.022806496422042338]"
1,22,22,1,0.0163203649880208,1.025476686428457,True,False,[7],[0.02662115139383399]
1,23,23,1,0.015868462272973807,1.0254766864284581,True,False,[5],[0.023232754513945065]
2,0,0,1,0.01623998068449745,1.0310876810401428,True,False,[15],[0.022030343089819937]
2,1,7,1,0.016167678226755175,1.0296995933549213,True,False,[8],[0.017989500900566884]
2,2,36,1,0.024684367303883566,1.0770342068905607,True,False,[15],[0.0129918906012886]
2,3,19,1,0.0160903247382861,1.044625811871268,True,False,[15],[0.03347999016129077]
2,4,29,1,0.01783419538192655,1.0436181023769642,True,False,[5],[0.037317941232033774]
2,6,23,1,0.015460393072350852,1.0299514330653716,True,False,[7],[0.0429892290206824]
2,7,11,1,0.016233783127934394,1.0296152740058335,True,False,[7],[0.06205854921454436]
2,8,17,3,0.014296015328910339,1.025476686428457,True,False,"[7, 15, 16]","[0.02186072174976615, 0.02186072174976615, 0.02186072174976615]"
2,9,4,2,0.014512796651773173,1.022976696140249,True,False,"[7, 8]","[0.060264241420059705, 0.03690236489628536]"
2,10,12,1,0.015764957358047393,1.0254766864284577,True,False,[8],[0.06455341126265228]
2,11,16,1,0.016130897528006786,1.025476686428457,True,False,[12],[0.034082014214236615]
2,13,8,1,0.016646486333375524,1.0371181944137826,True,False,[17],[0.04406144829680256]
2,14,2,1,0.015888460729127567,1.0378590035369855,True,False,[5],[0.020782467234756397]
2,15,6,1,0.015948540783226273,1.0400388255389583,True,False,[5],[0.03232293678664294]
2,16,13,1,0.015141983350687737,1.0351779177929616,True,False,[8],[0.03688160545293656]
2,17,18,1,0.015858093389258497,1.0336114934741507,True,False,[7],[0.024094945066432033]
2,18,21,2,0.015827574578025284,1.0413296274164319,True,False,"[7, 12]","[0.03499192438427742, 0.03499192438427742]"
2,19,10,3,0.016388548862032185,1.0305263461011862,True,False,"[7, 8, 16]","[0.04425636673376699, 0.04425636673376699, 0.04425636673376699]"
2,21,3,1,0.016171739993864363,1.0272266889398454,True,False,[12],[0.04129830928913954]
2,22,15,1,0.01655981494148727,1.0255895834770126,True,False,[7],[0.02795442252852441]
2,23,14,1,0.016177992999715337,1.0254766864284586,True,False,[5],[0.04094827969593988]
3,0,0,2,0.015102778393211207,1.0433050852077455,True,False,"[6, 8]","[0.06329391121630881, 0.03199568293560801]"
3,1,7,1,0.016060960415197764,1.0388738973203493,True,False,[5],[0.0412376349846227]
