generation,mu,mean_sigma,min_sigma,max_sigma,mean_psucc,min_psucc,max_psucc,gens_silent,sigma_floor_active,archive_size,n_pitot3_sentinels,n_spark_sentinels,n_both_sentinels,n_sentinels,lineage_0,lineage_1,lineage_2,lineage_3,lineage_4,lineage_5,lineage_6,lineage_7,lineage_8,lineage_9,lineage_10,lineage_11,lineage_12,lineage_13,lineage_14,lineage_15,lineage_16,lineage_17,lineage_18,lineage_19,lineage_20,lineage_21,lineage_22,lineage_23,sigma_0,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,sigma_8,sigma_9,sigma_10,sigma_11,sigma_12,sigma_13,sigma_14,sigma_15,sigma_16,sigma_17,sigma_18,sigma_19,sigma_20,sigma_21,sigma_22,sigma_23,psucc_0,psucc_1,psucc_2,psucc_3,psucc_4,psucc_5,psucc_6,psucc_7,psucc_8,psucc_9,psucc_10,psucc_11,psucc_12,psucc_13,psucc_14,psucc_15,psucc_16,psucc_17,psucc_18,psucc_19,psucc_20,psucc_21,psucc_22,psucc_23
1,24,0.10015618664531996,0.09953810705865762,0.10210518621451076,0.18686868686868685,0.16666666666666666,0.25,0,False,4,0,0,0,0,0,7,19,43,4,12,23,11,17,8,2,16,5,13,6,21,18,10,22,3,15,14,20,1,0.1,0.1,0.10210518621451076,0.10210518621451076,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09953810705865762,0.1,0.1,0.18181818181818182,0.18181818181818182,0.25,0.25,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.16666666666666666,0.18181818181818182,0.18181818181818182
2,24,0.1008386698442676,0.09953810705865762,0.10210518621451076,0.2089646464646465,0.16666666666666666,0.25,0,False,4,0,0,0,0,0,7,19,43,4,12,23,11,17,8,2,16,5,13,6,58,21,18,54,66,64,10,22,14,0.1,0.1,0.10210518621451076,0.10210518621451076,0.1,0.09953810705865762,0.10210518621451076,0.1,0.1,0.1,0.10210518621451076,0.1,0.1,0.1,0.1,0.10210518621451076,0.1,0.10210518621451076,0.10210518621451076,0.10210518621451076,0.10210518621451076,0.1,0.10210518621451076,0.09953810705865762,0.18181818181818182,0.18181818181818182,0.25,0.25,0.18181818181818182,0.16666666666666666,0.25,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.25,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.25,0.18181818181818182,0.25,0.25,0.25,0.25,0.18181818181818182,0.25,0.16666666666666666
3,24,0.10139252981964146,0.09953810705865762,0.10626479815687233,0.2221696127946128,0.16666666666666666,0.3125,0,False,4,0,0,0,0,0,7,19,43,4,12,94,23,11,17,8,2,16,77,13,6,5,21,18,58,54,66,64,22,0.1,0.1,0.10210518621451076,0.10210518621451076,0.1,0.10120316818419796,0.10626479815687233,0.10210518621451076,0.09953810705865762,0.1,0.1,0.10210518621451076,0.1,0.10120316818419796,0.1,0.1,0.1,0.1,0.10210518621451076,0.10210518621451076,0.10210518621451076,0.10210518621451076,0.10210518621451076,0.10626479815687233,0.18181818181818182,0.18181818181818182,0.25,0.25,0.18181818181818182,0.2361111111111111,0.3125,0.25,0.16666666666666666,0.18181818181818182,0.18181818181818182,0.25,0.18181818181818182,0.2361111111111111,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.25,0.25,0.25,0.25,0.25,0.3125
4,24,0.10134968128496676,0.09953810705865762,0.10626479815687233,0.2209069865319865,0.16666666666666666,0.3125,0,False,4,0,0,0,0,0,7,19,105,4,12,94,23,11,17,43,8,2,16,77,13,6,5,21,18,58,54,66,64,0.1,0.09953810705865762,0.10210518621451076,0.10210518621451076,0.1,0.10120316818419796,0.10626479815687233,0.10210518621451076,0.09953810705865762,0.10210518621451076,0.10210518621451076,0.1,0.10210518621451076,0.1,0.10120316818419796,0.1,0.1,0.1,0.1,0.10210518621451076,0.10210518621451076,0.10210518621451076,0.1035931400515108,0.10210518621451076,0.18181818181818182,0.16666666666666666,0.25,0.25,0.18181818181818182,0.2361111111111111,0.3125,0.25,0.16666666666666666,0.25,0.25,0.18181818181818182,0.25,0.18181818181818182,0.2361111111111111,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.25,0.25,0.25,0.22916666666666666,0.25
5,24,0.10202370440280441,0.09953810705865762,0.10626479815687233,0.23069234006734007,0.16666666666666666,0.3125,0,False,4,0,0,0,0,0,7,19,105,4,12,122,11,17,43,8,94,23,77,139,13,2,16,5,21,6,58,66,18,0.1,0.09953810705865762,0.10626479815687233,0.10210518621451076,0.1,0.10120316818419796,0.10626479815687233,0.09953810705865762,0.10210518621451076,0.10210518621451076,0.1,0.10626479815687233,0.10210518621451076,0.10120316818419796,0.10626479815687233,0.1,0.10210518621451076,0.1,0.09953810705865762,0.1,0.1,0.10210518621451076,0.1035931400515108,0.10626479815687233,0.18181818181818182,0.16666666666666666,0.3125,0.25,0.18181818181818182,0.2361111111111111,0.3125,0.16666666666666666,0.25,0.25,0.18181818181818182,0.3125,0.25,0.2361111111111111,0.3125,0.18181818181818182,0.25,0.18181818181818182,0.16666666666666666,0.18181818181818182,0.18181818181818182,0.25,0.22916666666666666,0.3125
6,24,0.10267283124373011,0.09865876712893568,0.11254694432213024,0.23924794823232323,0.15277777777777776,0.36979166666666663,0,False,4,0,0,0,0,0,7,19,105,4,145,43,12,122,11,17,146,139,8,94,23,77,13,2,16,166,21,6,5,0.1,0.10120316818419796,0.11254694432213024,0.10210518621451076,0.1,0.10120316818419796,0.10210518621451076,0.10120316818419796,0.10626479815687233,0.09865876712893568,0.10210518621451076,0.11254694432213024,0.10626479815687233,0.1,0.10626479815687233,0.10210518621451076,0.10120316818419796,0.1,0.10210518621451076,0.09953810705865762,0.10718608167904842,0.1,0.1,0.09953810705865762,0.18181818181818182,0.2361111111111111,0.36979166666666663,0.25,0.18181818181818182,0.2361111111111111,0.25,0.2361111111111111,0.3125,0.15277777777777776,0.25,0.36979166666666663,0.3125,0.18181818181818182,0.3125,0.25,0.2361111111111111,0.18181818181818182,0.25,0.16666666666666666,0.2934027777777778,0.18181818181818182,0.18181818181818182,0.16666666666666666
7,24,0.10302813882769672,0.09953810705865762,0.11254694432213024,0.24649270482603813,0.16666666666666666,0.36979166666666663,0,False,4,0,0,0,0,0,7,19,105,177,4,145,43,12,122,11,17,187,146,139,8,94,23,77,13,2,16,166,5,0.09953810705865762,0.10120316818419796,0.11254694432213024,0.10210518621451076,0.09991965677806096,0.1,0.10120316818419796,0.1035931400515108,0.10120316818419796,0.10626479815687233,0.09991965677806096,0.10210518621451076,0.10120316818419796,0.11254694432213024,0.10626479815687233,0.1,0.10971734353948906,0.10210518621451076,0.10120316818419796,0.1,0.10210518621451076,0.10120316818419796,0.10718608167904842,0.09953810705865762,0.16666666666666666,0.2361111111111111,0.36979166666666663,0.25,0.22337962962962962,0.18181818181818182,0.2361111111111111,0.22916666666666666,0.2361111111111111,0.3125,0.22337962962962962,0.25,0.2361111111111111,0.36979166666666663,0.3125,0.18181818181818182,0.2864583333333333,0.25,0.2361111111111111,0.18181818181818182,0.25,0.2361111111111111,0.2934027777777778,0.16666666666666666
8,24,0.10521414656967953,0.09953810705865762,0.12112871390712321,0.26987923944304154,0.16666666666666666,0.4223090277777778,0,False,5,0,0,0,0,0,7,197,19,105,177,4,145,43,201,12,122,11,17,187,146,139,8,94,23,77,207,13,194,0.09953810705865762,0.10120316818419796,0.10210518621451076,0.12112871390712321,0.10210518621451076,0.09991965677806096,0.10210518621451076,0.10120316818419796,0.1035931400515108,0.11254694432213024,0.10120316818419796,0.11254694432213024,0.09991965677806096,0.10210518621451076,0.10120316818419796,0.11808335442858496,0.10626479815687233,0.10210518621451076,0.10971734353948906,0.10210518621451076,0.10120316818419796,0.10210518621451076,0.1,0.12112871390712321,0.16666666666666666,0.2361111111111111,0.25,0.4223090277777778,0.25,0.22337962962962962,0.25,0.2361111111111111,0.22916666666666666,0.36979166666666663,0.2361111111111111,0.36979166666666663,0.22337962962962962,0.25,0.2361111111111111,0.3389756944444444,0.3125,0.25,0.2864583333333333,0.25,0.2361111111111111,0.25,0.18181818181818182,0.4223090277777778
9,24,0.10590847411417721,0.09953810705865762,0.12112871390712321,0.27586885931069954,0.16666666666666666,0.4223090277777778,0,False,6,0,0,0,0,0,7,197,19,105,220,177,4,145,43,201,12,122,11,17,187,146,139,8,94,23,77,207,194,0.09953810705865762,0.10120316818419796,0.10210518621451076,0.12112871390712321,0.10626479815687233,0.10626479815687233,0.09991965677806096,0.10210518621451076,0.10120316818419796,0.1035931400515108,0.11254694432213024,0.10120316818419796,0.11808335442858496,0.10062269764031694,0.10210518621451076,0.10120316818419796,0.11808335442858496,0.10626479815687233,0.10210518621451076,0.10971734353948906,0.10210518621451076,0.10120316818419796,0.10210518621451076,0.12112871390712321,0.16666666666666666,0.2361111111111111,0.25,0.4223090277777778,0.3125,0.3125,0.22337962962962962,0.25,0.2361111111111111,0.22916666666666666,0.36979166666666663,0.2361111111111111,0.3389756944444444,0.20476466049382713,0.25,0.2361111111111111,0.3389756944444444,0.3125,0.25,0.2864583333333333,0.25,0.2361111111111111,0.25,0.4223090277777778
10,24,0.10616698896606165,0.09953810705865762,0.12112871390712321,0.2716732574588477,0.16666666666666666,0.4223090277777778,0,False,6,0,0,0,0,0,7,197,19,105,220,177,4,145,43,201,12,122,11,17,187,146,139,8,94,23,77,207,194,0.09953810705865762,0.1022793177746068,0.1035931400515108,0.12112871390712321,0.10626479815687233,0.10626479815687233,0.09991965677806096,0.10210518621451076,0.10120316818419796,0.1035931400515108,0.11254694432213024,0.1022793177746068,0.11808335442858496,0.10062269764031694,0.10210518621451076,0.10120316818419796,0.11808335442858496,0.10626479815687233,0.10210518621451076,0.10971734353948906,0.1035931400515108,0.1022793177746068,0.10210518621451076,0.12112871390712321,0.16666666666666666,0.21643518518518517,0.22916666666666666,0.4223090277777778,0.3125,0.3125,0.22337962962962962,0.25,0.2361111111111111,0.22916666666666666,0.36979166666666663,0.21643518518518517,0.3389756944444444,0.20476466049382713,0.25,0.2361111111111111,0.3389756944444444,0.3125,0.25,0.2864583333333333,0.22916666666666666,0.21643518518518517,0.25,0.4223090277777778
