gen_found,lineage_id,f_0,f_1,design_0,design_1,design_2,design_3,design_4,design_5,g_al_0
73,1762,0.526386,0.11419562857142858,1.9626768238019716,1.0663608855088422,1.0286670235523783,1.999285919697259,1.607155183268675,1.0862677323240602,-3401.1291748860735
101,2426,0.9742079999999992,1.7933177142857143e-06,1.6581890136313797,1.100515477551858,1.0167290432981424,1.6916248938508494,1.4278602867692523,1.3104000560158675,-2631.3712075362714
330,7920,0.4812059999999998,0.1276566,1.996578643614128,1.1076989438052853,1.0138501344923423,1.9506077868599665,1.7497410458873157,1.8373484265318807,197.47287790125483
349,8389,0.5840140000000006,0.004424034285714285,1.9162736409136065,1.0680069095516591,1.0366359177696738,1.9889060848729094,1.7000975862961134,1.8637391095002107,249.277624979758
351,8435,0.610224,0.002577585714285714,1.9184587583649082,1.0691404494175487,1.0389632671775628,1.9852066149507859,1.7335003239632891,1.8478662762507454,206.95633645839462
353,8486,0.58056,0.07645522857142857,1.9060262665018919,1.0712862291038658,1.0335397173280674,1.977698035110055,1.6929350857775118,1.8742550544190744,300.4894592701271
376,9025,0.5732300000000001,0.09510768571428571,1.9705605570172053,1.083343655861139,1.0279060753453961,1.992986185134533,1.7972415453131398,1.7561851268946087,130.30846388675536
397,9529,0.5329580000000006,0.10246677142857144,1.99311046298329,1.0860895133600672,1.0228189254839026,1.9828012172603,1.765638040491618,1.833836913294298,174.6186440677934
403,9689,0.5204499999999999,0.11454994285714286,1.9955862793810444,1.0825650522988266,1.0247078393872584,1.9787963803802469,1.7808196495489865,1.8271159131410206,150.88870736505578
452,10870,0.652006,0.0009474988571428571,1.9396831744867504,1.067518049199927,1.0463363868940692,1.9798735743359925,1.773075383747056,1.854149205928657,-60.3669940918594
453,10894,0.6478019999999999,0.0015334894285714284,1.9397573730708797,1.0673451696129772,1.0462683111037216,1.979222340271115,1.7733627843263418,1.8541529192871835,-61.41772656448666
470,11303,0.6506139999999999,0.0009706337142857144,1.9396099251175904,1.0675238283358122,1.046368561196045,1.9799569787669715,1.77326522314062,1.8539221524750689,-60.49836897429941
491,11806,0.648022,0.0010051934285714287,1.9401598029324552,1.0676056676868653,1.045959361381139,1.9794127515923166,1.7730231443587208,1.8549523433087172,-61.023773284031904
500,12022,0.6496060000000003,0.0009916271428571427,1.9400378268502372,1.067586755069736,1.0459430827544027,1.9794229919813537,1.7728477936476486,1.8549211860741803,-47.710508129337086
