generation,n_arnold_calls,n_infeasible,n_lambda,infeasibility_rate,n_psd_fallback,n_no_active_js,mean_m_active,mean_A_delta_fro,max_A_delta_fro,any_shrink_applied,n_constraints,per_constraint_violation_count
30,24,24,24,1.0,0,0,1.3333333333333333,0.014114772088041239,0.03225345464056997,True,18,"[0, 0, 0, 0, 0, 3, 1, 7, 9, 0, 0, 0, 3, 0, 0, 6, 3, 0]"
31,19,19,24,0.7916666666666666,0,0,1.3157894736842106,0.013731697854329107,0.018601743782196617,True,18,"[0, 0, 0, 0, 0, 4, 0, 7, 4, 0, 0, 1, 4, 0, 0, 3, 2, 0]"
32,19,19,24,0.7916666666666666,0,0,1.368421052631579,0.013551427954727153,0.01597369144262041,True,18,"[0, 0, 0, 0, 0, 3, 0, 9, 7, 0, 0, 0, 2, 0, 0, 3, 2, 0]"
33,20,20,24,0.8333333333333334,0,0,1.5,0.014085096995036064,0.03637579748885821,True,18,"[0, 0, 0, 0, 0, 4, 0, 11, 9, 0, 0, 1, 0, 0, 0, 5, 0, 0]"
34,20,20,24,0.8333333333333334,0,0,1.25,0.013063577816386524,0.015739473452209947,True,18,"[0, 0, 0, 0, 0, 3, 0, 9, 5, 0, 0, 0, 2, 0, 0, 5, 1, 0]"
35,16,16,24,0.6666666666666666,0,0,1.3125,0.013287125465171423,0.015663303681388706,True,18,"[0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 1, 2, 0, 0, 5, 1, 0]"
36,19,19,24,0.7916666666666666,0,0,1.3157894736842106,0.016654235948228707,0.06149504671642537,True,18,"[0, 0, 0, 0, 0, 3, 0, 5, 6, 0, 0, 0, 1, 0, 0, 4, 4, 2]"
37,22,22,24,0.9166666666666666,0,0,1.4090909090909092,0.01315361319748246,0.01791133955117623,True,18,"[0, 0, 0, 0, 0, 2, 0, 9, 6, 0, 0, 0, 4, 0, 0, 7, 2, 1]"
38,20,20,24,0.8333333333333334,0,0,1.2,0.013539795616270795,0.01672750930727343,True,18,"[0, 0, 0, 0, 0, 5, 0, 9, 3, 0, 0, 0, 1, 0, 0, 5, 1, 0]"
39,22,22,24,0.9166666666666666,0,0,1.4090909090909092,0.0134094481557686,0.01648060986969063,True,18,"[0, 0, 0, 0, 0, 8, 1, 9, 3, 0, 0, 0, 2, 0, 0, 7, 1, 0]"
40,21,21,24,0.875,0,0,1.2857142857142858,0.01372516359368922,0.01722246839481334,True,18,"[0, 0, 0, 0, 0, 4, 0, 6, 7, 0, 0, 1, 4, 0, 0, 4, 0, 1]"
41,18,18,24,0.75,0,0,1.3333333333333333,0.013507312937639255,0.017912474234912042,True,18,"[0, 0, 0, 0, 0, 5, 1, 7, 6, 0, 0, 0, 3, 0, 0, 0, 2, 0]"
42,21,21,24,0.875,0,0,1.380952380952381,0.012777727554354386,0.017690851815531795,True,18,"[0, 0, 0, 0, 0, 1, 1, 15, 6, 0, 0, 0, 2, 0, 0, 3, 0, 1]"
43,23,23,24,0.9583333333333334,0,0,1.2173913043478262,0.013603865017408753,0.016822489767652386,True,18,"[0, 0, 0, 0, 0, 8, 1, 7, 5, 0, 0, 0, 0, 0, 0, 5, 1, 1]"
44,21,21,24,0.875,0,0,1.1428571428571428,0.013956017821923053,0.019979732533053452,True,18,"[0, 0, 0, 0, 0, 6, 0, 9, 5, 0, 0, 0, 0, 0, 0, 2, 1, 1]"
45,21,21,24,0.875,0,0,1.3333333333333333,0.015532262369184178,0.06493157660232855,True,18,"[0, 0, 0, 0, 0, 1, 1, 9, 5, 0, 0, 0, 4, 0, 0, 6, 1, 1]"
46,18,18,24,0.75,0,0,1.3888888888888888,0.012661050933646698,0.017279144061609224,True,18,"[0, 0, 0, 0, 0, 2, 1, 5, 7, 0, 0, 1, 4, 0, 0, 5, 0, 0]"
47,20,20,24,0.8333333333333334,0,0,1.25,0.012824450225339897,0.016741996103788962,True,18,"[0, 0, 0, 0, 0, 8, 0, 9, 5, 0, 0, 0, 0, 0, 0, 2, 1, 0]"
48,20,20,24,0.8333333333333334,0,0,1.35,0.012783409781422148,0.016858211643225474,True,18,"[0, 0, 0, 0, 0, 3, 0, 9, 3, 0, 0, 0, 3, 0, 0, 8, 1, 0]"
49,18,18,24,0.75,0,0,1.3333333333333333,0.013340006614674167,0.016667192322828636,True,18,"[0, 0, 0, 0, 0, 5, 1, 5, 4, 0, 0, 0, 4, 0, 0, 3, 1, 1]"
