generation,n_infeasible_slots,n_infeasible_draws,n_redraws,n_unresolved,n_lambda,n_constraints,per_constraint_violation_count
45,19,450,448,2,24,18,"[0, 0, 0, 0, 0, 30, 0, 189, 200, 10, 25, 96, 155, 1, 0, 79, 63, 36]"
46,17,301,300,1,24,18,"[0, 0, 0, 0, 0, 21, 0, 148, 120, 3, 13, 54, 105, 0, 0, 73, 34, 5]"
47,16,215,215,0,24,18,"[0, 0, 0, 0, 0, 26, 0, 80, 80, 7, 1, 27, 74, 0, 0, 37, 51, 19]"
48,16,327,326,1,24,18,"[0, 0, 0, 0, 0, 42, 0, 128, 118, 5, 6, 38, 104, 0, 0, 35, 83, 36]"
49,20,403,403,0,24,18,"[0, 0, 0, 0, 0, 31, 0, 160, 173, 12, 9, 70, 159, 0, 0, 65, 76, 40]"
50,15,256,256,0,24,18,"[0, 0, 0, 0, 0, 13, 0, 112, 106, 13, 9, 44, 92, 0, 0, 38, 61, 43]"
51,22,297,296,1,24,18,"[0, 0, 0, 0, 0, 24, 0, 127, 126, 16, 2, 25, 94, 0, 0, 41, 68, 50]"
52,17,378,376,2,24,18,"[0, 0, 0, 0, 0, 25, 0, 125, 149, 7, 3, 34, 130, 0, 0, 57, 124, 66]"
53,14,185,185,0,24,18,"[0, 0, 0, 0, 0, 13, 0, 59, 73, 8, 0, 7, 67, 0, 0, 21, 52, 40]"
54,14,158,158,0,24,18,"[0, 0, 0, 0, 0, 14, 0, 59, 63, 11, 3, 11, 46, 0, 0, 5, 48, 35]"
55,18,190,190,0,24,18,"[0, 0, 0, 0, 0, 26, 0, 60, 77, 1, 0, 23, 64, 0, 0, 16, 39, 14]"
56,15,241,240,1,24,18,"[0, 0, 0, 0, 0, 30, 0, 70, 103, 0, 0, 9, 63, 0, 0, 58, 66, 6]"
57,17,157,157,0,24,18,"[0, 0, 0, 0, 0, 13, 0, 56, 59, 0, 0, 7, 42, 0, 0, 21, 50, 4]"
58,19,137,137,0,24,18,"[0, 0, 0, 0, 0, 21, 0, 41, 30, 0, 0, 7, 43, 0, 0, 23, 25, 1]"
59,17,94,94,0,24,18,"[0, 0, 0, 0, 0, 11, 0, 27, 40, 0, 0, 10, 29, 0, 0, 10, 16, 0]"
60,19,112,112,0,24,18,"[0, 0, 0, 0, 0, 15, 0, 45, 27, 0, 0, 15, 17, 0, 0, 9, 17, 0]"
61,16,109,109,0,24,18,"[0, 0, 0, 0, 0, 12, 0, 26, 47, 0, 0, 11, 37, 0, 0, 16, 19, 1]"
62,15,52,52,0,24,18,"[0, 0, 0, 0, 0, 13, 0, 15, 15, 0, 0, 6, 6, 0, 0, 10, 7, 1]"
