generation,parent_slot,lineage_id,sigma,psucc,feasible,pitot3_sentinel,spark_sentinel,g_al,raw_pct_he,raw_driver_p,raw_p4,raw_d_throat,raw_reservoir_p,raw_buffer_length,scaled_pct_he,scaled_driver_p,scaled_p4,scaled_d_throat,scaled_reservoir_p,scaled_buffer_length,raw_delta_vs1,raw_hold_time,raw_impact_speed,scaled_delta_vs1,scaled_hold_time,scaled_impact_speed
60,0,,0.1581475167623716,0.3016455353164028,True,False,False,-3465.0613167352312,93.32180633442121,126681.07405117313,18716796.41913962,0.07982693976523944,6038277.3211110635,0.09280157566499977,1.777393544480707,1.0459532284707098,1.1132025893478434,1.8521982790068412,1.750839169943503,1.4280157566499978,119.93868326476877,0.0012129500000000008,11.54245,,0.7574099999999998,0.032978428571428575
60,1,,0.1526921543607259,0.27903197324428797,True,False,False,-3145.148608271698,85.41005946150676,96999.22755494894,15163075.004880257,0.08491947857488649,3900890.0747082094,0.09349610387383578,1.513668648716892,1.0351005469212335,1.1204935380812033,1.9976993878538996,1.4813223428265467,1.4349610387383578,439.85139172830213,0.0011459899999999995,2.365938,,0.7708020000000001,0.006759822857142857
60,2,,0.15465604388834098,0.29175865979853066,True,False,False,-2631.23273253517,97.4852329888949,197114.34600085518,3165460.2674757647,0.08474073580488292,4781836.393469218,0.06476171536441704,1.9161744329631634,1.0717060020070461,1.0012236333001787,1.9925924515680835,1.5875675039680475,1.1476171536441704,953.7672674648302,9.00000000001594e-07,0.5492208,,0.9998199999999997,0.0015692022857142856
60,3,,0.0878646445063073,0.1624579892996956,True,False,False,-3436.426116838493,84.79597621438568,93993.26793605207,20041758.841359828,0.07940533685031902,4652762.578240922,0.09195009304643602,1.493199207146189,1.0340014669668034,1.1688807673048354,1.8401524814376862,1.576620975013356,1.4195009304643602,148.57388316150718,0.0010351100000000023,24.15281,,0.7929779999999995,0.06900802857142857
60,4,,0.08759263611142554,0.09726476985479367,True,False,False,-2130.4699816779653,85.77015150677231,179838.5024829177,3691149.9031846756,0.07456391062969189,4823800.327155355,0.10489934319733378,1.5256717168924103,1.0653893724731454,1.005021048611495,1.701826017991197,1.5938447468312393,1.5489934319733378,1454.5300183220347,0.000858069999999999,11.34085,,0.8283860000000002,0.03240242857142857
60,5,,0.15308316492248203,0.4187669307828771,True,False,False,-3004.988280545726,95.13390955503264,169135.46650061506,6623527.210882543,0.08192638092535481,5313585.36607465,0.09789098566290563,1.837796985167755,1.0614759824775704,1.020868086229562,1.9121823121529946,1.6569453318425789,1.4789098566290564,580.011719454274,0.00032474999999999865,2.7607539999999995,,0.9350500000000003,0.00788786857142857
60,6,,0.15907539078079871,0.39081413099541507,True,False,False,-3461.2855214426654,98.56058974099793,285230.16890367906,11444044.804241456,0.0798378864097018,5195282.752539107,0.09189905132739168,1.9520196580332645,1.103924110996864,1.0216853089035254,1.8525110402771943,1.6364483570001305,1.418990513273917,123.71447855733459,0.0010129099999999988,68.77999,,0.7974180000000003,0.19651425714285714
60,7,,0.08957165418484625,0.0988820324109796,True,False,False,-3258.2841875468325,70.43724823743105,142131.7042816703,27338303.153551653,0.08220043499488383,7118842.522368737,0.12615957353264093,1.0145749412477016,1.051602498628199,1.1511252988984189,1.920012428425252,1.8878630381077528,1.7615957353264093,326.7158124531675,0.0009889000000000009,45.17084,,0.8022199999999998,0.12905954285714286
60,8,,0.13033102836863186,0.2682920132167085,True,False,False,-3497.114880223814,80.80691440763023,81233.03595155117,22213364.36811813,0.07175692121741026,4053068.9222637895,0.07450324665388774,1.360230480254341,1.0293358969106128,1.2200936619663807,1.621626320497436,1.501572518088302,1.2450324665388774,87.885119776186,0.0009009399999999994,29.46876,,0.8198120000000001,0.08419645714285715
60,9,,0.16906965867938512,0.3726854337217526,True,False,False,-2529.9802661539147,93.17103945993355,183290.9780873212,4521230.136646664,0.08286620058236774,6128544.544278878,0.13638943952352878,1.772367981997785,1.0666517136922704,1.0085432556381526,1.9390343023533638,1.7605826888944123,1.863894395235288,1055.0197338460853,0.0005030999999999994,21.59404,,0.8993800000000002,0.06169725714285714
